UniqueCASEID,WGTCDTR_D,VEHNO,VEHNO,FUELCAP1,FUELCAP2,FUELGT2,FUELLOC1,FUELLOC2,FUELTNK1,FUELTNK2,FUELTYP1,FUELTYP2,ORIGAVTW,PSU,RATWGT,STRATIF,WHEELBAS
1.03E+84,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,150,82,177.208,E,267
103F73,Passenger Vehicle,2,2,2,0,0,1,0,1,0,1,0,152,73,662.565,F,286
103F73,Passenger Vehicle,3,3,3,0,0,4,0,1,0,1,0,143,73,662.565,F,263
103G11,Passenger Vehicle,2,2,3,0,0,6,0,1,0,1,0,150,11,379.685,G,272
103G41,6000 lbs & Under,1,1,2,0,0,1,0,2,0,1,0,152,41,1220.792,G,265
103G41,Passenger Vehicle,2,2,2,0,0,1,0,2,0,1,0,163,41,1220.792,G,299
103G76,6000 lbs & Under,2,2,3,0,0,6,0,2,0,1,0,155,76,2511.299,G,289
103H13,Passenger Vehicle,1,1,2,0,0,4,0,2,0,1,0,143,13,1547.086,H,260
103H13,6001-10000 Lbs,2,2,4,0,0,5,0,1,0,1,0,167,13,1547.086,H,365
103H2,Passenger Vehicle,2,2,2,0,0,4,0,1,0,1,0,144,2,4578.661,H,250
103H2,6001-10000 Lbs,3,3,2,0,0,8,0,1,0,1,0,166,2,4578.661,H,303
103H42,Passenger Vehicle,2,2,2,0,0,5,0,2,0,1,0,145,42,1487.306,H,246
103H48,Passenger Vehicle,1,1,3,0,0,4,0,2,0,1,0,143,48,50000,H,249
103H74,Passenger Vehicle,2,2,2,0,0,4,0,1,0,1,0,153,74,332.702,H,281
103H79,6000 lbs & Under,1,1,6,0,0,4,0,1,0,1,0,165,79,1018.935,H,285
103H8,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,153,8,1877.888,H,282
103J4,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,148,4,98.066,J,262
103J4,6001-10000 Lbs,2,2,4,0,0,5,0,1,0,1,0,170,4,98.066,J,367
103J4,6001-10000 Lbs,3,3,2,0,0,5,0,1,0,1,0,165,4,98.066,J,295
103J50,Passenger Vehicle,1,1,2,0,0,4,0,2,0,1,0,151,50,54.73,J,267
103K45,6000 lbs & Under,1,1,2,0,0,1,0,2,0,1,0,148,45,22.91,K,272
104B13,6000 lbs & Under,1,1,4,0,0,5,0,1,0,1,0,139,13,85.643,B,275
104B13,6001-10000 Lbs,2,2,4,0,0,5,0,2,0,2,0,172,13,85.643,B,361
104B42,6000 lbs & Under,1,1,4,0,0,5,0,2,0,1,0,162,42,13.225,B,288
104B50,6000 lbs & Under,1,1,2,0,0,1,0,1,0,1,0,145,50,12.315,B,258
104C2,Passenger Vehicle,1,1,3,0,0,4,0,1,0,1,0,157,2,121.713,C,276
104C41,6000 lbs & Under,1,1,3,0,0,4,0,2,0,1,0,157,41,29.66,C,286
104C41,Passenger Vehicle,2,2,2,0,0,5,0,2,0,1,0,153,41,29.66,C,269
1.04E+06,Passenger Vehicle,1,1,2,0,0,5,0,1,0,1,0,156,4,170.706,E,284
1.04E+06,6000 lbs & Under,2,2,4,0,0,5,0,1,0,1,0,148,4,170.706,E,320
1.04E+10,Passenger Vehicle,1,1,3,0,0,4,0,1,0,1,0,151,8,296.109,E,251
1.04E+10,6000 lbs & Under,2,2,2,0,0,4,0,1,0,1,0,149,8,296.109,E,272
104F6,Passenger Vehicle,1,1,2,0,0,4,0,2,0,1,0,146,6,183.572,F,260
104F75,6000 lbs & Under,1,1,5,0,0,6,0,1,0,1,0,143,75,439.55,F,262
104F76,Passenger Vehicle,1,1,2,0,0,5,0,1,0,1,0,143,76,655.411,F,250
104H43,6000 lbs & Under,1,1,3,0,0,1,0,1,0,1,0,151,43,2029.923,H,265
104H43,6000 lbs & Under,2,2,4,0,0,1,0,2,0,1,0,161,43,2029.923,H,303
104H73,Passenger Vehicle,1,1,2,0,0,5,0,1,0,1,0,150,73,1669.199,H,273
104H73,Passenger Vehicle,2,2,3,0,0,6,0,2,0,1,0,152,73,1669.199,H,257
104H73,6000 lbs & Under,4,4,4,0,0,5,0,1,0,1,0,139,73,1669.199,H,312
104J12,6001-10000 Lbs,1,1,4,0,0,5,0,1,0,2,0,173,12,22.544,J,351
104J12,Passenger Vehicle,2,2,6,0,0,4,0,2,0,1,0,158,12,22.544,J,285
104J82,Passenger Vehicle,1,1,2,0,0,4,0,2,0,1,0,147,82,3.833,J,262
104K45,6000 lbs & Under,1,1,2,2,0,5,1,1,1,1,1,172,45,22.91,K,297
104K47,Passenger Vehicle,1,1,6,0,0,5,0,1,0,1,0,152,47,165.193,K,262
104K47,Passenger Vehicle,2,2,8,0,0,4,0,1,0,1,0,150,47,165.193,K,251
104K48,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,152,48,312.729,K,274
104K48,6000 lbs & Under,2,2,3,0,0,6,0,2,0,1,0,155,48,312.729,K,289
104K49,Passenger Vehicle,1,1,2,0,0,5,0,2,0,1,0,155,49,9.936,K,289
104K49,6000 lbs & Under,2,2,6,0,0,5,0,2,0,1,0,152,49,9.936,K,270
104K72,Passenger Vehicle,1,1,3,0,0,4,0,1,0,1,0,145,72,13.048,K,264
104K74,Passenger Vehicle,1,1,2,0,0,7,0,1,0,1,0,145,74,9.057,K,243
104K79,6000 lbs & Under,1,1,2,0,0,5,0,1,0,1,0,151,79,6.608,K,268
