Accident Type,MAIS,PassengerCar_Count,PassengerCar_%,LightTruck_Count,LightTruck_%,HeavyTruck_Count,HeavyTruck_%,AverageOf_PassengerCar_and_HeavyTruck
82,1,545,43.08300395,194,49.8714653,84,54.19354839,48.63827617
82,2,91,7.193675889,15,3.856041131,10,6.451612903,6.822644396
82,3,107,8.458498024,21,5.398457584,15,9.677419355,9.067958689
82,4,31,2.450592885,5,1.285347044,1,0.64516129,1.547877088
82,5,9,0.711462451,11,2.827763496,2,1.290322581,1.000892516
82,6,4,0.316205534,0,0,2,1.290322581,0.803264057
82,7,42,3.320158103,12,3.084832905,6,3.870967742,3.595562922
52,0,28,21.21212121,2,3.636363636,2,16.66666667,18.93939394
52,1,84,63.63636364,18,32.72727273,4,33.33333333,48.48484848
52,2,0,0,8,14.54545455,1,8.333333333,4.166666667
52,3,10,7.575757576,2,3.636363636,2,16.66666667,12.12121212
52,4,1,0.757575758,0,0,0,0,0.378787879
52,5,8,6.060606061,17,30.90909091,1,8.333333333,7.196969697
52,6,0,0,0,0,0,0,0
52,7,1,0.757575758,8,14.54545455,2,16.66666667,8.712121212
61,0,0,0,0,0,0,0,0
61,1,0,0,0,0,0,0,0
61,2,0,0,0,0,0,0,0
61,3,0,0,0,0,0,0,0
61,4,0,0,0,0,0,0,0
61,5,0,0,0,0,0,0,0
61,6,0,0,0,0,0,0,0
61,7,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0
10,2,0,0,0,0,0,0,0
10,3,0,0,0,0,0,0,0
10,4,0,0,0,0,0,0,0
10,5,0,0,0,0,0,0,0
10,6,0,0,0,0,0,0,0
10,7,0,0,0,0,0,0,0
U,0,0,0,0,0,0,0,0
U,1,0,0,0,0,0,0,0
U,2,0,0,0,0,0,0,0
U,3,0,0,0,0,0,0,0
U,4,0,0,0,0,0,0,0
U,5,0,0,0,0,0,0,0
U,6,0,0,0,0,0,0,0
U,7,0,0,0,0,0,0,0
86,0,292,36.18339529,96,23.52941176,51,28.33333333,32.25836431
86,1,359,44.48574969,177,43.38235294,84,46.66666667,45.57620818
86,2,69,8.550185874,38,9.31372549,9,5,6.775092937
86,3,28,3.469640644,15,3.676470588,18,10,6.734820322
86,4,8,0.991325898,17,4.166666667,4,2.222222222,1.60677406
86,5,6,0.743494424,18,4.411764706,6,3.333333333,2.038413879
86,6,0,0,0,0,4,2.222222222,1.111111111
86,7,45,5.576208178,47,11.51960784,4,2.222222222,3.8992152
27,0,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0
27,2,0,0,0,0,0,0,0
27,3,0,0,0,0,0,0,0
27,4,0,0,0,0,0,0,0
27,5,0,0,0,0,0,0,0
27,6,0,0,0,0,0,0,0
27,7,0,0,0,0,0,0,0
88,0,292,31.09691161,158,43.40659341,63,29.71698113,30.40694637
88,1,417,44.40894569,146,40.10989011,92,43.39622642,43.90258605
88,2,75,7.987220447,22,6.043956044,19,8.962264151,8.474742299
88,3,74,7.880724175,15,4.120879121,20,9.433962264,8.657343219
88,4,11,1.171458999,8,2.197802198,9,4.245283019,2.708371009
88,5,19,2.02342918,4,1.098901099,3,1.41509434,1.71926176
88,6,6,0.638977636,0,0,2,0.943396226,0.791186931
88,7,45,4.792332268,11,3.021978022,4,1.886792453,3.339562361
40,0,0,0,0,0,0,0,0
40,1,0,0,0,0,0,0,0
40,2,0,0,0,0,0,0,0
40,3,0,0,0,0,0,0,0
40,4,0,0,0,0,0,0,0
40,5,0,0,0,0,0,0,0
40,6,0,0,0,0,0,0,0
40,7,0,0,0,0,0,0,0
83,0,382,34.04634581,171,37.5,59,38.06451613,36.05543097
83,1,564,50.26737968,181,39.69298246,57,36.77419355,43.52078661
83,2,61,5.436720143,36,7.894736842,14,9.032258065,7.234489104
83,3,65,5.793226381,41,8.99122807,19,12.25806452,9.025645449
83,4,7,0.623885918,10,2.192982456,2,1.290322581,0.957104249
83,5,9,0.802139037,6,1.315789474,2,1.290322581,1.046230809
83,6,6,0.534759358,0,0,0,0,0.267379679
83,7,28,2.495543672,11,2.412280702,2,1.290322581,1.892933126
57,0,0,0,0,0,0,0,0
57,1,0,0,0,0,0,0,0
57,2,0,0,0,0,0,0,0
57,3,0,0,0,0,0,0,0
57,4,0,0,0,0,0,0,0
57,5,0,0,0,0,0,0,0
57,6,0,0,0,0,0,0,0
57,7,0,0,0,0,0,0,0
13,0,14,73.68421053,9,69.23076923,6,50,61.84210526
13,1,4,21.05263158,4,30.76923077,4,33.33333333,27.19298246
13,2,1,5.263157895,0,0,0,0,2.631578947
13,3,0,0,0,0,2,16.66666667,8.333333333
13,4,0,0,0,0,0,0,0
13,5,0,0,0,0,0,0,0
13,6,0,0,0,0,0,0,0
13,7,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
47,1,0,0,0,0,0,0,0
47,2,0,0,0,0,0,0,0
47,3,0,0,0,0,0,0,0
47,4,0,0,0,0,0,0,0
47,5,0,0,0,0,0,0,0
47,6,0,0,0,0,0,0,0
47,7,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0
75,1,0,0,0,0,0,0,0
75,2,0,0,0,0,0,0,0
75,3,0,0,0,0,0,0,0
75,4,0,0,0,0,0,0,0
75,5,0,0,0,0,0,0,0
75,6,0,0,0,0,0,0,0
75,7,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
43,1,0,0,0,0,0,0,0
43,2,0,0,0,0,0,0,0
43,3,0,0,0,0,0,0,0
43,4,0,0,0,0,0,0,0
43,5,0,0,0,0,0,0,0
43,6,0,0,0,0,0,0,0
43,7,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
29,1,0,0,0,0,0,0,0
29,2,0,0,0,0,0,0,0
29,3,0,0,0,0,0,0,0
29,4,0,0,0,0,0,0,0
29,5,0,0,0,0,0,0,0
29,6,0,0,0,0,0,0,0
29,7,0,0,0,0,0,0,0
24,0,112,41.63568773,22,27.5,17,20.48192771,31.05880772
24,1,94,34.94423792,31,38.75,41,49.39759036,42.17091414
24,2,33,12.26765799,8,10,12,14.45783133,13.36274466
24,3,10,3.717472119,15,18.75,6,7.228915663,5.473193891
24,4,1,0.371747212,0,0,0,0,0.185873606
24,5,2,0.743494424,2,2.5,0,0,0.371747212
24,6,4,1.486988848,2,2.5,0,0,0.743494424
24,7,13,4.832713755,0,0,7,8.43373494,6.633224347
38,0,0,0,0,0,0,0,0
38,1,0,0,0,0,0,0,0
38,2,0,0,0,0,0,0,0
38,3,0,0,0,0,0,0,0
38,4,0,0,0,0,0,0,0
38,5,0,0,0,0,0,0,0
38,6,0,0,0,0,0,0,0
38,7,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,0,0
14,2,0,0,0,0,0,0,0
14,3,0,0,0,0,0,0,0
14,4,0,0,0,0,0,0,0
14,5,0,0,0,0,0,0,0
14,6,0,0,0,0,0,0,0
14,7,0,0,0,0,0,0,0
20,0,919,51.95025438,230,44.48742747,76,40.64171123,46.29598281
20,1,613,34.65234596,225,43.52030948,80,42.78074866,38.71654731
20,2,86,4.861503674,18,3.481624758,12,6.417112299,5.639307987
20,3,58,3.278688525,15,2.901353965,3,1.604278075,2.4414833
20,4,5,0.282645562,5,0.967117988,0,0,0.141322781
20,5,18,1.017524025,4,0.773694391,0,0,0.508762012
20,6,5,0.282645562,6,1.160541586,0,0,0.141322781
20,7,65,3.674392312,14,2.707930368,16,8.556149733,6.115271022
12,0,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,0
12,2,0,0,0,0,0,0,0
12,3,0,0,0,0,0,0,0
12,4,0,0,0,0,0,0,0
12,5,0,0,0,0,0,0,0
12,6,0,0,0,0,0,0,0
12,7,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0
44,1,0,0,0,0,0,0,0
44,2,0,0,0,0,0,0,0
44,3,0,0,0,0,0,0,0
44,4,0,0,0,0,0,0,0
44,5,0,0,0,0,0,0,0
44,6,0,0,0,0,0,0,0
44,7,0,0,0,0,0,0,0
50,0,123,21.96428571,49,14.54005935,8,12.30769231,17.13598901
50,1,170,30.35714286,108,32.04747774,22,33.84615385,32.10164835
50,2,92,16.42857143,56,16.61721068,6,9.230769231,12.82967033
50,3,109,19.46428571,75,22.25519288,17,26.15384615,22.80906593
50,4,13,2.321428571,23,6.824925816,2,3.076923077,2.699175824
50,5,28,5,7,2.077151335,4,6.153846154,5.576923077
50,6,4,0.714285714,7,2.077151335,2,3.076923077,1.895604396
50,7,21,3.75,12,3.560830861,4,6.153846154,4.951923077
42,0,0,0,0,0,0,0,0
42,1,0,0,0,0,0,0,0
42,2,0,0,0,0,0,0,0
42,3,0,0,0,0,0,0,0
42,4,0,0,0,0,0,0,0
42,5,0,0,0,0,0,0,0
42,6,0,0,0,0,0,0,0
42,7,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0
93,1,0,0,0,0,0,0,0
