,Accident Type,MAIS,PassengerCar_Count,PassengerCar_%,LightTruck_Count,LightTruck_%,HeavyTruck_Count,HeavyTruck_%,AverageOf_PassengerCar_and_HeavyTruck
414,83,6,6.0,0.534759358,,0.0,,0.0,0.267379679
415,83,7,28.0,2.4955436719999997,11.0,2.412280702,2.0,1.2903225809999999,1.892933126
424,13,0,14.0,73.68421053,9.0,69.23076923,6.0,50.0,61.84210526
425,13,1,4.0,21.05263158,4.0,30.76923077,4.0,33.33333333,27.19298246
426,13,2,1.0,5.263157895,,0.0,,0.0,2.631578947
427,13,3,,0.0,,0.0,2.0,16.66666667,8.333333332999999
428,13,4,,0.0,,0.0,,0.0,0.0
429,13,5,,0.0,,0.0,,0.0,0.0
430,13,6,,0.0,,0.0,,0.0,0.0
431,13,7,,0.0,,0.0,,0.0,0.0
464,24,0,112.0,41.63568773,22.0,27.5,17.0,20.48192771,31.05880772
465,24,1,94.0,34.94423792,31.0,38.75,41.0,49.39759036,42.17091414
466,24,2,33.0,12.26765799,8.0,10.0,12.0,14.45783133,13.36274466
467,24,3,10.0,3.717472119,15.0,18.75,6.0,7.2289156629999995,5.473193891
468,24,4,1.0,0.37174721200000005,,0.0,,0.0,0.18587360600000002
469,24,5,2.0,0.7434944240000001,2.0,2.5,,0.0,0.37174721200000005
470,24,6,4.0,1.4869888480000002,2.0,2.5,,0.0,0.7434944240000001
471,24,7,13.0,4.832713755,,0.0,7.0,8.43373494,6.6332243470000005
488,20,0,919.0,51.95025438,230.0,44.48742747,76.0,40.64171123,46.29598281
489,20,1,613.0,34.65234596,225.0,43.52030948,80.0,42.78074866,38.71654731
490,20,2,86.0,4.861503674,18.0,3.481624758,12.0,6.417112298999999,5.6393079870000005
491,20,3,58.0,3.278688525,15.0,2.901353965,3.0,1.604278075,2.4414833
492,20,4,5.0,0.282645562,5.0,0.9671179879999999,,0.0,0.141322781
493,20,5,18.0,1.017524025,4.0,0.7736943909999999,,0.0,0.508762012
494,20,6,5.0,0.282645562,6.0,1.160541586,,0.0,0.141322781
495,20,7,65.0,3.6743923119999997,14.0,2.707930368,16.0,8.556149733,6.115271022000001
512,50,0,123.0,21.96428571,49.0,14.54005935,8.0,12.30769231,17.13598901
513,50,1,170.0,30.35714286,108.0,32.04747774,22.0,33.84615385,32.10164835
514,50,2,92.0,16.42857143,56.0,16.61721068,6.0,9.230769231,12.82967033
515,50,3,109.0,19.46428571,75.0,22.25519288,17.0,26.15384615,22.80906593
516,50,4,13.0,2.3214285709999998,23.0,6.824925816,2.0,3.076923077,2.6991758239999997
517,50,5,28.0,5.0,7.0,2.077151335,4.0,6.153846154,5.576923077000001
518,50,6,4.0,0.7142857140000001,7.0,2.077151335,2.0,3.076923077,1.895604396
519,50,7,21.0,3.75,12.0,3.5608308610000003,4.0,6.153846154,4.951923077
536,7,0,118.0,32.15258856,31.0,22.96296296,21.0,29.16666667,30.65962761
537,7,1,117.0,31.88010899,60.0,44.44444444,26.0,36.11111111,33.99561005
538,7,2,45.0,12.26158038,17.0,12.59259259,8.0,11.11111111,11.68634575
539,7,3,38.0,10.35422343,17.0,12.59259259,6.0,8.333333332999999,9.343778383
540,7,4,21.0,5.722070845,4.0,2.9629629630000003,4.0,5.555555556,5.6388132
541,7,5,10.0,2.72479564,2.0,1.4814814809999999,1.0,1.388888889,2.056842265
542,7,6,6.0,1.6348773840000002,,0.0,,0.0,0.8174386920000001
543,7,7,12.0,3.2697547680000003,4.0,2.9629629630000003,6.0,8.333333332999999,5.8015440510000005
576,66,0,95.0,30.25477707,18.0,17.82178218,,0.0,15.12738854
577,66,1,103.0,32.80254777,48.0,47.52475248,2.0,25.0,28.90127389
578,66,2,18.0,5.732484076,10.0,9.900990099,,0.0,2.866242038
579,66,3,38.0,12.10191083,2.0,1.98019802,4.0,50.0,31.05095541
580,66,4,6.0,1.910828025,3.0,2.97029703,,0.0,0.955414013
581,66,5,32.0,10.1910828,12.0,11.88118812,,0.0,5.095541401
582,66,6,2.0,0.636942675,8.0,7.920792079,2.0,25.0,12.81847134
583,66,7,20.0,6.369426752000001,,0.0,,0.0,3.1847133760000004
600,25,0,73.0,36.13861386,32.0,22.53521127,15.0,38.46153846,37.30007616
601,25,1,80.0,39.6039604,72.0,50.70422535,17.0,43.58974359,41.59685199
602,25,2,13.0,6.435643563999999,19.0,13.38028169,2.0,5.128205128,5.781924346
603,25,3,20.0,9.900990099,11.0,7.746478872999999,3.0,7.692307692000001,8.796648896
604,25,4,2.0,0.99009901,,0.0,,0.0,0.495049505
605,25,5,3.0,1.485148515,,0.0,,0.0,0.742574257
606,25,6,2.0,0.99009901,,0.0,,0.0,0.495049505
607,25,7,9.0,4.455445545,8.0,5.633802817,2.0,5.128205128,4.7918253360000005
656,48,0,50.0,44.64285714,38.0,42.22222222,1.0,6.666666667,25.654761899999997
657,48,1,49.0,43.75,18.0,20.0,6.0,40.0,41.875
658,48,2,4.0,3.571428571,13.0,14.44444444,3.0,20.0,11.78571429
659,48,3,2.0,1.785714286,3.0,3.333333333,,0.0,0.892857143
660,48,4,2.0,1.785714286,10.0,11.11111111,,0.0,0.892857143
661,48,5,3.0,2.6785714290000002,,0.0,3.0,20.0,11.33928571
662,48,6,,0.0,,0.0,,0.0,0.0
663,48,7,2.0,1.785714286,8.0,8.888888889,2.0,13.33333333,7.55952381
680,1,0,81.0,15.25423729,30.0,18.29268293,11.0,17.74193548,16.49808639
681,1,1,183.0,34.46327684,60.0,36.58536585,12.0,19.35483871,26.90905777
682,1,2,79.0,14.87758945,29.0,17.68292683,11.0,17.74193548,16.30976247
683,1,3,94.0,17.70244821,22.0,13.41463415,15.0,24.19354839,20.947998300000002
684,1,4,37.0,6.9679849339999995,14.0,8.536585366,4.0,6.451612902999999,6.709798919
685,1,5,25.0,4.708097928,5.0,3.0487804880000002,4.0,6.451612902999999,5.579855416
686,1,6,14.0,2.63653484,,0.0,2.0,3.225806452,2.9311706460000004
687,1,7,18.0,3.389830508,4.0,2.43902439,3.0,4.838709677,4.114270093
736,98,0,2128.0,36.77207534,969.0,39.97524752,295.0,44.09566517,40.43387026
737,98,1,2291.0,39.58873337,881.0,36.34488449,208.0,31.09118087,35.33995712
738,98,2,349.0,6.030758597,183.0,7.54950495,50.0,7.473841555,6.752300076
739,98,3,475.0,8.208052532,198.0,8.168316832,37.0,5.53064275,6.869347641
740,98,4,127.0,2.194574045,36.0,1.485148515,24.0,3.587443946,2.891008996
741,98,5,79.0,1.3651287369999998,38.0,1.567656766,7.0,1.046337818,1.205733277
742,98,6,22.0,0.38016243299999997,4.0,0.16501650199999998,,0.0,0.190081217
743,98,7,316.0,5.460514947,115.0,4.744224422,48.0,7.174887892,6.31770142
